Geography,Population for whom poverty status is determined
0500000US13293,26587
0500000US13295,66214
0500000US13297,94356
0500000US13299,33570
0500000US13301,5152
0500000US13303,18144
0500000US13305,28201
0500000US13307,2368
0500000US13309,7390
0500000US13311,27211
0500000US13313,101659
0500000US13315,6884
0500000US13317,9506
0500000US13319,8798
0500000US13321,20507
0500000US15001,197496
0500000US15003,982273
0500000US15005,43
0500000US15007,72329
0500000US15009,162577
0500000US16001,475109
0500000US16003,4284
0500000US16005,84158
0500000US16007,6280
0500000US16009,9375
0500000US16011,46990
0500000US16013,23827
0500000US16015,7531
0500000US16017,46060
0500000US16019,120707
0500000US16021,11887
0500000US16023,2544
0500000US16025,1044
0500000US16027,224206
0500000US16029,6915
0500000US16031,24177
0500000US16033,839
0500000US16035,7895
0500000US16037,4244
0500000US16039,27459
0500000US16041,13913
0500000US16043,12810
0500000US16045,18212
0500000US16047,15310
0500000US16049,15928
0500000US16051,30358
0500000US16053,23873
0500000US16055,166430
0500000US16057,36415
0500000US16059,7827
0500000US16061,3596
0500000US16063,5140
0500000US16065,50663
0500000US16067,21227
0500000US16069,40862
0500000US16071,4490
0500000US16073,11672
0500000US16075,24671
0500000US16077,7818
0500000US16079,12918
0500000US16081,11478
0500000US16083,88051
0500000US16085,11352
0500000US16087,10330
0500000US17001,64573
0500000US17003,5364
0500000US17005,14807
0500000US17007,52988
0500000US17009,4437
0500000US17011,32845
0500000US17013,4421
0500000US17015,14712
0500000US17017,12919
0500000US17019,191377
0500000US17021,32222
0500000US17023,15311
0500000US17025,13089
0500000US17027,34885
0500000US17029,43948
0500000US17031,5179874
0500000US17033,16656
0500000US17035,10346
0500000US17037,96616
0500000US17039,15373
0500000US17041,19352
0500000US17043,921231
0500000US17045,16675
0500000US17047,6186
0500000US17049,34019
0500000US17051,20015
0500000US17053,13161
0500000US17055,37289
0500000US17057,31593
0500000US17059,5035
0500000US17061,11868
0500000US17063,51791
0500000US17065,7929
0500000US17067,17517
0500000US17069,3623
0500000US17071,6428
0500000US17073,48520
0500000US17075,26673
0500000US17077,50045
0500000US17079,9244
0500000US17081,35312
0500000US17083,20525
0500000US17085,21795
0500000US17087,10924
0500000US17089,512156
0500000US17091,103860
0500000US17093,130219
0500000US17095,45947
0500000US17097,696696
0500000US17099,106416
0500000US17101,13070
0500000US17103,31228
0500000US17105,33768
0500000US17107,24372
0500000US17109,24703
0500000US17111,308380
0500000US17113,162474
0500000US17115,100876
0500000US17117,44214
0500000US17119,260362
0500000US17121,36567
0500000US17123,11315
0500000US17125,13047
0500000US17127,13961
0500000US17129,12194
0500000US17131,15545
0500000US17133,34390
0500000US17135,25554
0500000US17137,30400
0500000US17139,14344
0500000US17141,50984
0500000US17143,177425
0500000US17145,18496
0500000US17147,16600
0500000US17149,14403
0500000US17151,3609
0500000US17153,5218
0500000US17155,5628
0500000US17157,27029
0500000US17159,15542
0500000US17161,139680
0500000US17163,254013
0500000US17165,23335
0500000US17167,192932
0500000US17169,6882
0500000US17171,4861
0500000US17173,20977
0500000US17175,5308
0500000US17177,44079
0500000US17179,129305
0500000US17181,17000
0500000US17183,71696
0500000US17185,11290
0500000US17187,15794
0500000US17189,13589
0500000US17191,16200
0500000US17193,13494
0500000US17195,54818
0500000US17197,686328
0500000US17199,64782
0500000US17201,280951
0500000US17203,37472
0500000US18001,34933
0500000US18003,375492
0500000US18005,80666
0500000US18007,8564
0500000US18009,11982
0500000US18011,68886
0500000US18013,15220
0500000US18015,20068
0500000US18017,36889
0500000US18019,118378
0500000US18021,25637
0500000US18023,32241
0500000US18025,10370
0500000US18027,32709
0500000US18029,49781
0500000US18031,25990
0500000US18033,42637
0500000US18035,105171
0500000US18037,42565
0500000US18039,202832
0500000US18041,23016
0500000US18043,77992
0500000US18045,16234
0500000US18047,22613
0500000US18049,19945
0500000US18051,32201
0500000US18053,61306
0500000US18055,30517
0500000US18057,339636
0500000US18059,77818
0500000US18061,39024
0500000US18063,168955
0500000US18065,45410
0500000US18067,81854
0500000US18069,35302
0500000US18071,44676
0500000US18073,32176
0500000US18075,20263
0500000US18077,30719
0500000US18079,26899
0500000US18081,156591
0500000US18083,34269
0500000US18085,78510
0500000US18087,39625
0500000US18089,490255
0500000US18091,104283
0500000US18093,44412
0500000US18095,123456
0500000US18097,950293
0500000US18099,45424
0500000US18101,9587
0500000US18103,33776
0500000US18105,124391
0500000US18107,36376
0500000US18109,70156
0500000US18111,13615
0500000US18113,46237
0500000US18115,5831
0500000US18117,19401
0500000US18119,20836
0500000US18121,14978
0500000US18123,17475
0500000US18125,11952
0500000US18127,168354
0500000US18129,25039
0500000US18131,12298
0500000US18133,31567
0500000US18135,24151
0500000US18137,28490
0500000US18139,16418
0500000US18141,259742
0500000US18143,23436
0500000US18145,43941
0500000US18147,19692
0500000US18149,23176
0500000US18151,32730
0500000US18153,18515
0500000US18155,9750
0500000US18157,169205
0500000US18159,15022
0500000US18161,6945
0500000US18163,172843
0500000US18165,15228
0500000US18167,98399
0500000US18169,29222
0500000US18171,8318
0500000US18173,62665
0500000US18175,27625
0500000US18177,63577
0500000US18179,27484
0500000US18181,24251
0500000US18183,33542
0500000US19001,7277
0500000US19003,3622
0500000US19005,13791
0500000US19007,12207
0500000US19009,5526
0500000US19011,25242
0500000US19013,126784
0500000US19015,26288
0500000US19017,23353
0500000US19019,20395
0500000US19021,19714
0500000US19023,14196
0500000US19025,9272
0500000US19027,20436
0500000US19029,12923
0500000US19031,18141
0500000US19033,42421
0500000US19035,11274
0500000US19037,11819
0500000US19039,9528
0500000US19041,16120
0500000US19043,16902
0500000US19045,45614
0500000US19047,16384
0500000US19049,96174
0500000US19051,8960
0500000US19053,7000
0500000US19055,17358
0500000US19057,38238
0500000US19059,17343
0500000US19061,95292
0500000US19063,8642
0500000US19065,19014
0500000US19067,15477
0500000US19069,9895
0500000US19071,6574
0500000US19073,8711
0500000US19075,12196
0500000US19077,10492
0500000US19079,14864
0500000US19081,10650
0500000US19083,16209
0500000US19085,14366
0500000US19087,18928
0500000US19089,9276
0500000US19091,9523
0500000US19093,6847
0500000US19095,16363
0500000US19097,19236
0500000US19099,36047
0500000US19101,15069
0500000US19103,144779
0500000US19105,19455
0500000US19107,9912
0500000US19109,14629
0500000US19111,32397
0500000US19113,223474
0500000US19115,10754
0500000US19117,8497
0500000US19119,11810
0500000US19121,16250
0500000US19123,21436
0500000US19125,31758
0500000US19127,38664
0500000US19129,14454
0500000US19131,10293
0500000US19133,8561
0500000US19135,7481
0500000US19137,10175
0500000US19139,42403
0500000US19141,13804
0500000US19143,6071
0500000US19145,14232
0500000US19147,8637
0500000US19149,25265
0500000US19151,6955
0500000US19153,480175
0500000US19155,91268
0500000US19157,17082
0500000US19159,4553
0500000US19161,9640
0500000US19163,170459
0500000US19165,11554
0500000US19167,33418
0500000US19169,86633
0500000US19171,16675
0500000US19173,5851
0500000US19175,11902
0500000US19177,7108
0500000US19179,34550
0500000US19181,50022
0500000US19183,22158
0500000US19185,6403
0500000US19187,34364
0500000US19189,10096
0500000US19191,17964
0500000US19193,102486
0500000US19195,7332
0500000US19197,12786
0500000US20001,12128
0500000US20003,7637
0500000US20005,15090
0500000US20007,4092
0500000US20009,25065
0500000US20011,13912
0500000US20013,9352
0500000US20015,64147
0500000US20017,2500
0500000US20019,3348
0500000US20021,19234
0500000US20023,2601
0500000US20025,1900
0500000US20027,7940
0500000US20029,8500
0500000US20031,8243
0500000US20033,1732
0500000US20035,32595
0500000US20037,37066
0500000US20039,2709
0500000US20041,18217
0500000US20043,6848
0500000US20045,110694
0500000US20047,2833
0500000US20049,2458
0500000US20051,27815
0500000US20053,5521
0500000US20055,37639
0500000US20057,33619
0500000US20059,25209
0500000US20061,35534
0500000US20063,2720
0500000US20065,2410
0500000US20067,7340
0500000US20069,5567
0500000US20071,1232
0500000US20073,5965
0500000US20075,2572
0500000US20077,5381
0500000US20079,32690
0500000US20081,3762
0500000US20083,1809
0500000US20085,13117
0500000US20087,18168
0500000US20089,2881
0500000US20091,599517
0500000US20093,3928
0500000US20095,7381
0500000US20097,2274
0500000US20099,19839
0500000US20101,1502
0500000US20103,76052
0500000US20105,2892
0500000US20107,9578
0500000US20109,2747
0500000US20111,31183
0500000US20113,28633
0500000US20115,11128
0500000US20117,9850
0500000US20119,3982
0500000US20121,33325
0500000US20123,5711
0500000US20125,30776
0500000US20127,5301
0500000US20129,2681
0500000US20131,9883
0500000US20133,15460
0500000US20135,2668
0500000US20137,4547
0500000US20139,15535
0500000US20141,3418
0500000US20143,5685
0500000US20145,5443
0500000US20147,4924
0500000US20149,24755
0500000US20151,8800
0500000US20153,2489
0500000US20155,59181
0500000US20157,4620
0500000US20159,8781
0500000US20161,63485
0500000US20163,4787
0500000US20165,2812
0500000US20167,6612
0500000US20169,52943
0500000US20171,5045
0500000US20173,513316
0500000US20175,21793
0500000US20177,174543
0500000US20179,2423
0500000US20181,5679
0500000US20183,3522
0500000US20185,3983
0500000US20187,2060
0500000US20189,5208
0500000US20191,22135
0500000US20193,7475
0500000US20195,2725
0500000US20197,6769
0500000US20199,1502
0500000US20201,5418
0500000US20203,2129
0500000US20205,8571
0500000US20207,3123
0500000US20209,166383
0500000US21001,17435
0500000US21003,20337
0500000US21005,23475
0500000US21007,7682
0500000US21009,43273
0500000US21011,12580
0500000US21013,23816
0500000US21015,133143
0500000US21017,19955
0500000US21019,46606
0500000US21021,27460
0500000US21023,8272
0500000US21025,13368
0500000US21027,19979
0500000US21029,80990
0500000US21031,12023
0500000US21033,12538
0500000US21035,33558
0500000US21037,89495
0500000US21039,4771
0500000US21041,10512
0500000US21043,26035
0500000US21045,15457
0500000US21047,65619
0500000US21049,36025
0500000US21051,19156
0500000US21053,9215
0500000US21055,8707
0500000US21057,5921
0500000US21059,99470
0500000US21061,11988
0500000US21063,5972
0500000US21065,14016
0500000US21067,308643
0500000US21069,14972
0500000US21071,35431
0500000US21073,49424
0500000US21075,6084
0500000US21077,8567
0500000US21079,16786
0500000US21081,24491
0500000US21083,36105
0500000US21085,26021
0500000US21087,10994
0500000US21089,35575
0500000US21091,8954
0500000US21093,107021
0500000US21095,26329
0500000US21097,18351
0500000US21099,18750
0500000US21101,43929
0500000US21103,15558
0500000US21105,4399
0500000US21107,44271
0500000US21109,12862
0500000US21111,764034
0500000US21113,51136
0500000US21115,22195
0500000US21117,166195
0500000US21119,13850
0500000US21121,29584
0500000US21123,14417
0500000US21125,61089
0500000US21127,16149
0500000US21129,6709
0500000US21131,10185
0500000US21133,21373
0500000US21135,12944
0500000US21137,23829
0500000US21139,8940
0500000US21141,26980
0500000US21143,7391
0500000US21145,65943
0500000US21147,15549
0500000US21149,9104
0500000US21151,85872
0500000US21153,11691
0500000US21155,18458
0500000US21157,30942
0500000US21159,10194
0500000US21161,16755
0500000US21163,29358
0500000US21165,6079
0500000US21167,22304
0500000US21169,10163
0500000US21171,11089
0500000US21173,27517
0500000US21175,12213
0500000US21177,30114
0500000US21179,45931
0500000US21181,7390
0500000US21183,23361
0500000US21185,64144
0500000US21187,11049
0500000US21189,3940
0500000US21191,14336
0500000US21193,27589
0500000US21195,57714
0500000US21197,12704
0500000US21199,63388
0500000US21201,2041
0500000US21203,15721
0500000US21205,21649
0500000US21207,17477
0500000US21209,54536
0500000US21211,46416
0500000US21213,18793
0500000US21215,19054
0500000US21217,24780
0500000US21219,11975
0500000US21221,13967
0500000US21223,8338
0500000US21225,13469
0500000US21227,125663
0500000US21229,11645
0500000US21231,19354
0500000US21233,12649
0500000US21235,34619
0500000US21237,6496
0500000US21239,26282
0500000US22001,57237
0500000US22003,18714
0500000US22005,124142
0500000US22007,21180
0500000US22009,36377
0500000US22011,35949
0500000US22013,12836
0500000US22015,125917
0500000US22017,235421
0500000US22019,209577
0500000US22021,9230
0500000US22023,5610
0500000US22025,7700
0500000US22027,12446
0500000US22029,17405
0500000US22031,26598
0500000US22033,445909
0500000US22035,5112
0500000US22037,16459
0500000US22039,31020
0500000US22041,18736
0500000US22043,18936
0500000US22045,69576
0500000US22047,27421
0500000US22049,14120
0500000US22051,435830
0500000US22053,31762
0500000US22055,235882
0500000US22057,95632
0500000US22059,13473
0500000US22061,45611
0500000US22063,139802
0500000US22065,8566
0500000US22067,24964
0500000US22069,36336
0500000US22071,371945
0500000US22073,153884
0500000US22075,23179
0500000US22077,20752
0500000US22079,126775
0500000US22081,7396
0500000US22083,19149
0500000US22085,22085
0500000US22087,43456
0500000US22089,51629
0500000US22091,10666
0500000US22093,20189
0500000US22095,42088
0500000US22097,81396
0500000US22099,51720
0500000US22101,49055
0500000US22103,260081
0500000US22105,128544
0500000US22107,4252
0500000US22109,108357
0500000US22111,20670
0500000US22113,57122
0500000US22115,46170
0500000US22117,43574
0500000US22119,36396
0500000US22121,26142
0500000US22123,9642
0500000US22125,11738
0500000US22127,12007
0500000US23001,107112
0500000US23003,65264
0500000US23005,292581
0500000US23007,28360
0500000US23009,54031
0500000US23011,119763
0500000US23013,38849
0500000US23015,34497
0500000US23017,56952
0500000US23019,145517
0500000US23021,16390
0500000US23023,36320
0500000US23025,49628
0500000US23027,38917
0500000US23029,30057
0500000US23031,207251
0500000US24001,60286
0500000US24003,568465
0500000US24005,830134
0500000US24009,91931
0500000US24011,32764
0500000US24013,168464
0500000US24015,102144
0500000US24017,163415
0500000US24019,32044
0500000US24021,262658
0500000US24023,28222
0500000US24025,257375
0500000US24027,326236
0500000US24029,17646
0500000US24031,1048143
0500000US24033,935655
0500000US24035,49150
0500000US24037,110424
0500000US24039,19029
0500000US24041,37090
0500000US24043,144920
0500000US24045,99081
0500000US24047,51584
0500000US24510,569917
0500000US25001,225094
0500000US25003,122888
0500000US25005,561262
0500000US25007,20085
0500000US25009,787960
0500000US25011,69966
0500000US25013,452068
0500000US25015,138333
0500000US25017,1568129
0500000US25019,13643
0500000US25021,702678
0500000US25023,516077
0500000US25025,748596
0500000US25027,829438
0500000US26001,10041
0500000US26003,7904
0500000US26005,118181
0500000US26007,28366
0500000US26009,23209
0500000US26011,14869
0500000US26013,7276
0500000US26015,61231
0500000US26017,103091
0500000US26019,17682
0500000US26021,151406
0500000US26023,42396
0500000US26025,130756
0500000US26027,51172
0500000US26029,25781
0500000US26031,25342
0500000US26033,33838
0500000US26035,30424
0500000US26037,78031
0500000US26039,12911
0500000US26041,36306
0500000US26043,25516
0500000US26045,107202
0500000US26047,33526
0500000US26049,401661
0500000US26051,25074
0500000US26053,14120
0500000US26055,93189
0500000US26057,35847
0500000US26059,44038
0500000US26061,34631
0500000US26063,31169
0500000US26065,268267
0500000US26067,62833
0500000US26069,24925
0500000US26071,11170
0500000US26073,59569
0500000US26075,151000
0500000US26077,253356
0500000US26079,17680
0500000US26081,644240
0500000US26083,2047
0500000US26085,11948
0500000US26087,86792
0500000US26089,22038
0500000US26091,94394
0500000US26093,191793
0500000US26095,4498
0500000US26097,10681
0500000US26099,870714
0500000US26101,23661
0500000US26103,63158
0500000US26105,28753
0500000US26107,37270
0500000US26109,22947
0500000US26111,82130
0500000US26113,14888
0500000US26115,152293
0500000US26117,63652
0500000US26119,9029
0500000US26121,169411
0500000US26123,49052
0500000US26125,1261186
0500000US26127,26207
0500000US26129,20341
0500000US26131,5829
0500000US26133,22459
0500000US26135,8153
0500000US26137,24644
0500000US26139,284054
0500000US26141,12837
0500000US26143,23121
0500000US26145,184395
0500000US26147,158115
0500000US26149,59879
0500000US26151,40223
0500000US26153,7891
0500000US26155,67316
0500000US26157,52255
0500000US26159,74623
0500000US26161,352632
0500000US26163,1770587
0500000US26165,33183
0500000US27001,15542
0500000US27003,357436
0500000US27005,34342
0500000US27007,43999
0500000US27009,40380
0500000US27011,5020
0500000US27013,65213
0500000US27015,24822
0500000US27017,34205
0500000US27019,104619
0500000US27021,29492
0500000US27023,12295
0500000US27025,54823
0500000US27027,61584
0500000US27029,8386
0500000US27031,5525
0500000US27033,11315
0500000US27035,64935
0500000US27037,432943
0500000US27039,20609
0500000US27041,38271
0500000US27043,13628
0500000US27045,20731
0500000US27047,30356
0500000US27049,46604
0500000US27051,5943
0500000US27053,1249220
0500000US27055,18554
0500000US27057,20872
0500000US27059,40246
0500000US27061,43870
0500000US27063,9849
0500000US27065,15721
0500000US27067,42531
0500000US27069,4073
0500000US27071,11934
0500000US27073,6605
0500000US27075,10655
0500000US27077,3714
0500000US27079,28318
0500000US27081,5485
0500000US27083,24424
0500000US27085,36286
0500000US27087,5288
0500000US27089,8929
0500000US27091,19850
0500000US27093,22911
0500000US27095,25812
0500000US27097,33392
0500000US27099,39161
0500000US27101,8090
0500000US27103,31826
0500000US27105,21895
0500000US27107,6316
0500000US27109,158267
0500000US27111,58744
0500000US27113,13866
0500000US27115,27328
0500000US27117,9218
0500000US27119,30199
0500000US27121,11014
0500000US27123,536204
0500000US27125,3905
0500000US27127,15127
0500000US27129,14423
0500000US27131,58615
0500000US27133,9440
0500000US27135,15044
0500000US27137,192339
0500000US27139,147688
0500000US27141,94130
0500000US27143,14821
0500000US27145,151152
0500000US27147,36863
0500000US27149,9401
0500000US27151,9683
0500000US27153,24740
0500000US27155,3283
