Geography,HOUSE UNIT
0500000US01001,23697
0500000US01003,116747
0500000US01005,12057
0500000US01007,9237
0500000US01009,24404
0500000US01011,4591
0500000US01013,10119
0500000US01015,53722
0500000US01017,16985
0500000US01019,16631
0500000US01021,19897
0500000US01023,7410
0500000US01025,12813
0500000US01027,6832
0500000US01029,6859
0500000US01031,23313
0500000US01033,26727
0500000US01035,7203
0500000US01037,6615
0500000US01039,19073
0500000US01041,6834
0500000US01043,38056
0500000US01045,23151
0500000US01047,20427
0500000US01049,31424
0500000US01051,34332
0500000US01053,16618
0500000US01055,47805
0500000US01057,8493
0500000US01059,14082
0500000US01061,12901
0500000US01063,5131
0500000US01065,7847
0500000US01067,9203
0500000US01069,47798
0500000US01071,25135
0500000US01073,308825
0500000US01075,7410
0500000US01077,45272
0500000US01079,15333
0500000US01081,70256
0500000US01083,36278
0500000US01085,5251
0500000US01087,10311
0500000US01089,164100
0500000US01091,10377
0500000US01093,14754
0500000US01095,40661
0500000US01097,184321
0500000US01099,11451
0500000US01101,105063
0500000US01103,52248
0500000US01105,4759
0500000US01107,9620
0500000US01109,16241
0500000US01111,12147
0500000US01113,27912
0500000US01115,36982
0500000US01117,88090
0500000US01119,6917
0500000US01121,38021
0500000US01123,22565
0500000US01125,91719
0500000US01127,31238
0500000US01129,8603
0500000US01131,5804
0500000US01133,13700
0500000US02013,1199
0500000US02016,2013
0500000US02020,118293
0500000US02050,6029
0500000US02060,871
0500000US02063,3287
0500000US02066,2902
0500000US02068,1664
0500000US02070,2462
0500000US02090,44270
0500000US02100,1692
0500000US02105,1623
0500000US02110,13792
0500000US02122,31330
0500000US02130,6427
0500000US02150,5450
0500000US02158,2219
0500000US02164,1431
0500000US02170,42018
0500000US02180,4092
0500000US02185,2581
0500000US02188,2742
0500000US02195,1800
0500000US02198,3450
0500000US02220,4229
0500000US02230,644
0500000US02240,3911
0500000US02275,1451
0500000US02282,417
0500000US02290,4081
0500000US04001,32943
0500000US04003,61380
0500000US04005,66807
0500000US04007,33714
0500000US04009,13678
0500000US04011,4465
0500000US04012,16308
0500000US04013,1765880
0500000US04015,115466
0500000US04017,58230
0500000US04019,463236
0500000US04021,177933
0500000US04023,18412
0500000US04025,118531
0500000US04027,93612
0500000US05001,9495
0500000US05003,10186
0500000US05005,22953
0500000US05007,108836
0500000US05009,17025
0500000US05011,5818
0500000US05013,2943
0500000US05015,13764
0500000US05017,5429
0500000US05019,10559
0500000US05021,8024
0500000US05023,16143
0500000US05025,4123
0500000US05027,11698
0500000US05029,9862
0500000US05031,46156
0500000US05033,26953
0500000US05035,21790
0500000US05037,7985
0500000US05039,4346
0500000US05041,6292
0500000US05043,8640
0500000US05045,50209
0500000US05047,8018
0500000US05049,6847
0500000US05051,50974
0500000US05053,8049
0500000US05055,19185
0500000US05057,10570
0500000US05059,14490
0500000US05061,6255
0500000US05063,16600
0500000US05065,7312
0500000US05067,7606
0500000US05069,33372
0500000US05071,11536
0500000US05073,4394
0500000US05075,8030
0500000US05077,4362
0500000US05079,4693
0500000US05081,6534
0500000US05083,10173
0500000US05085,29737
0500000US05087,7595
0500000US05089,9546
0500000US05091,19576
0500000US05093,20572
0500000US05095,4445
0500000US05097,5875
0500000US05099,4595
0500000US05101,4706
0500000US05103,13110
0500000US05105,4993
0500000US05107,10243
0500000US05109,5629
0500000US05111,10994
0500000US05113,10130
0500000US05115,26373
0500000US05117,4550
0500000US05119,185460
0500000US05121,8629
0500000US05123,10969
0500000US05125,49149
0500000US05127,5283
0500000US05129,4951
0500000US05131,57127
0500000US05133,6986
0500000US05135,9894
0500000US05137,6927
0500000US05139,20065
0500000US05141,10519
0500000US05143,95238
0500000US05145,33924
0500000US05147,3878
0500000US05149,9881
0500000US06001,605767
0500000US06003,1794
0500000US06005,18246
0500000US06007,93968
0500000US06009,28096
0500000US06011,8153
0500000US06013,415067
0500000US06015,11349
0500000US06017,91569
0500000US06019,333357
0500000US06021,11210
0500000US06023,63003
0500000US06025,57855
0500000US06027,9514
0500000US06029,299179
0500000US06031,46267
0500000US06033,34477
0500000US06035,12766
0500000US06037,3559790
0500000US06039,50480
0500000US06041,112319
0500000US06043,10525
0500000US06045,40874
0500000US06047,86691
0500000US06049,5259
0500000US06051,14092
0500000US06053,141910
0500000US06055,55339
0500000US06057,53905
0500000US06059,1101244
0500000US06061,166083
0500000US06063,15873
0500000US06065,845066
0500000US06067,572916
0500000US06069,19215
0500000US06071,721376
0500000US06073,1215528
0500000US06075,398613
0500000US06077,245192
0500000US06079,122256
0500000US06081,278756
0500000US06083,159317
0500000US06085,668896
0500000US06087,105819
0500000US06089,78488
0500000US06091,2337
0500000US06093,24177
0500000US06095,159055
0500000US06097,206498
0500000US06099,182239
0500000US06101,34394
0500000US06103,27618
0500000US06105,8895
0500000US06107,150079
0500000US06109,31572
0500000US06111,289425
0500000US06113,78565
0500000US06115,28632
0500000US08001,173439
0500000US08003,6887
0500000US08005,252835
0500000US08007,9477
0500000US08009,2251
0500000US08011,2262
0500000US08013,135409
0500000US08014,28037
0500000US08015,10916
0500000US08017,1012
0500000US08019,5745
0500000US08021,4343
0500000US08023,2661
0500000US08025,1602
0500000US08027,4285
0500000US08029,14860
0500000US08031,306269
0500000US08033,1641
0500000US08035,125886
0500000US08037,32138
0500000US08039,9160
0500000US08041,276538
0500000US08043,20035
0500000US08045,23983
0500000US08047,3522
0500000US08049,16934
0500000US08051,11777
0500000US08053,1443
0500000US08055,5296
0500000US08057,1316
0500000US08059,237789
0500000US08061,772
0500000US08063,3557
0500000US08065,4528
0500000US08067,26840
0500000US08069,144583
0500000US08071,8549
0500000US08073,1948
0500000US08075,9027
0500000US08077,64244
0500000US08079,1370
0500000US08081,6197
0500000US08083,12220
0500000US08085,19455
0500000US08087,11809
0500000US08089,8930
0500000US08091,3227
0500000US08093,14066
0500000US08095,2060
0500000US08097,13861
0500000US08099,5937
0500000US08101,71284
0500000US08103,3345
0500000US08105,6832
0500000US08107,16977
0500000US08109,3961
0500000US08111,751
0500000US08113,6756
0500000US08115,1177
0500000US08117,31158
0500000US08119,13270
0500000US08121,2396
0500000US08123,106044
0500000US08125,4493
0500000US09001,374329
0500000US09003,380383
0500000US09005,88362
0500000US09007,76449
0500000US09009,367990
0500000US09011,123849
0500000US09013,59997
0500000US09015,49840
0500000US10001,73073
0500000US10003,224242
0500000US10005,141123
0500000US11001,319192
0500000US12001,118861
0500000US12003,10105
0500000US12005,104060
0500000US12007,11061
0500000US12009,280648
0500000US12011,826382
0500000US12013,6010
0500000US12015,105857
0500000US12017,80222
0500000US12019,81729
0500000US12021,218348
0500000US12023,29155
0500000US12027,15307
0500000US12029,9499
0500000US12031,413084
0500000US12033,142456
0500000US12035,52816
0500000US12037,8764
0500000US12039,20727
0500000US12041,7607
0500000US12043,7099
0500000US12045,9678
0500000US12047,5841
0500000US12049,9786
0500000US12051,14932
0500000US12053,87761
0500000US12055,55919
0500000US12057,590714
0500000US12059,8723
0500000US12061,81185
0500000US12063,21111
0500000US12065,6804
0500000US12067,3344
0500000US12069,160237
0500000US12071,401252
0500000US12073,131341
0500000US12075,20760
0500000US12077,3494
0500000US12079,8664
0500000US12081,194960
0500000US12083,170926
0500000US12085,80542
0500000US12086,1032310
0500000US12087,53759
0500000US12089,40141
0500000US12091,97802
0500000US12093,18734
0500000US12095,545974
0500000US12097,155925
0500000US12099,690075
0500000US12101,247024
0500000US12103,510798
0500000US12105,300596
0500000US12107,37497
0500000US12109,111492
0500000US12111,143823
0500000US12113,73023
0500000US12115,244910
0500000US12117,192073
0500000US12119,72655
0500000US12121,19467
0500000US12123,11134
0500000US12125,4623
0500000US12127,262438
0500000US12129,13686
0500000US12131,53637
0500000US12133,10957
0500000US13001,8597
0500000US13003,3511
0500000US13005,4819
0500000US13007,1841
0500000US13009,20638
0500000US13011,7796
0500000US13013,29036
0500000US13015,41684
0500000US13017,8015
0500000US13019,8811
0500000US13021,70138
0500000US13023,5327
0500000US13025,8180
0500000US13027,7817
0500000US13029,14778
0500000US13031,31496
0500000US13033,10108
0500000US13035,9457
0500000US13037,2398
0500000US13039,22303
0500000US13043,4784
0500000US13045,45699
0500000US13047,27578
0500000US13049,4536
0500000US13051,126234
0500000US13053,3341
0500000US13055,10986
0500000US13057,94658
0500000US13059,53452
0500000US13061,2160
0500000US13063,105992
