Geography,Population for whom poverty status is determined
0500000US01001,55181
0500000US01003,215170
0500000US01005,22070
0500000US01007,20748
0500000US01009,57127
0500000US01011,9713
0500000US01013,19411
0500000US01015,111229
0500000US01017,32875
0500000US01019,25680
0500000US01021,43478
0500000US01023,12544
0500000US01025,23445
0500000US01027,13002
0500000US01029,14736
0500000US01031,51427
0500000US01033,54330
0500000US01035,12164
0500000US01037,10267
0500000US01039,36355
0500000US01041,13558
0500000US01043,82072
0500000US01045,47697
0500000US01047,37558
0500000US01049,70471
0500000US01051,76834
0500000US01053,33720
0500000US01055,101456
0500000US01057,16106
0500000US01059,31163
0500000US01061,26082
0500000US01063,8132
0500000US01065,14512
0500000US01067,16619
0500000US01069,104205
0500000US01071,51195
0500000US01073,643916
0500000US01075,13634
0500000US01077,90823
0500000US01079,32671
0500000US01081,157351
0500000US01083,93472
0500000US01085,9794
0500000US01087,16161
0500000US01089,358380
0500000US01091,18882
0500000US01093,29268
0500000US01095,94762
0500000US01097,406762
0500000US01099,20718
0500000US01101,218646
0500000US01103,117132
0500000US01105,8296
0500000US01107,18380
0500000US01109,31488
0500000US01111,22180
0500000US01113,57054
0500000US01115,86841
0500000US01117,213265
0500000US01119,11741
0500000US01121,76675
0500000US01123,39879
0500000US01125,198767
0500000US01127,62541
0500000US01129,16198
0500000US01131,10289
0500000US01133,23316
0500000US02013,3379
0500000US02016,5419
0500000US02020,285133
0500000US02050,17874
0500000US02060,713
0500000US02063,6375
0500000US02066,2876
0500000US02068,2441
0500000US02070,4884
0500000US02090,94212
0500000US02100,2507
0500000US02105,2134
0500000US02110,31633
0500000US02122,57569
0500000US02130,13655
0500000US02150,13137
0500000US02158,8223
0500000US02164,1144
0500000US02170,105257
0500000US02180,9592
0500000US02185,9260
0500000US02188,7645
0500000US02195,3266
0500000US02198,6280
0500000US02220,8383
0500000US02230,1298
0500000US02240,6822
0500000US02275,2487
0500000US02282,597
0500000US02290,5250
0500000US04001,70448
0500000US04003,119114
0500000US04005,128891
0500000US04007,52825
0500000US04009,34621
0500000US04011,9374
0500000US04012,20733
0500000US04013,4353138
0500000US04015,207151
0500000US04017,107192
0500000US04019,1009533
0500000US04021,421337
0500000US04023,46278
0500000US04025,227070
0500000US04027,205294
0500000US05001,17414
0500000US05003,19841
0500000US05005,41126
0500000US05007,270118
0500000US05009,36882
0500000US05011,10708
0500000US05013,5030
0500000US05015,27758
0500000US05017,9757
0500000US05019,19944
0500000US05021,14536
0500000US05023,24703
0500000US05025,7974
0500000US05027,21789
0500000US05029,20786
0500000US05031,104896
0500000US05033,62106
0500000US05035,47577
0500000US05037,16302
0500000US05039,6376
0500000US05041,11441
0500000US05043,17193
0500000US05045,119703
0500000US05047,17463
0500000US05049,12102
0500000US05051,97208
0500000US05053,17963
0500000US05055,44261
0500000US05057,21417
0500000US05059,31421
0500000US05061,13064
0500000US05063,36483
0500000US05065,12527
0500000US05067,14237
0500000US05069,61785
0500000US05071,25795
0500000US05073,6561
0500000US05075,15933
0500000US05077,7351
0500000US05079,8231
0500000US05081,12086
