Geography,HOUSE UNIT
0500000US10003,232162
0500000US10005,140731
0500000US11001,344306
0500000US12001,121832
0500000US12003,9772
0500000US12005,102883
0500000US12007,10753
0500000US12009,286497
0500000US12011,854965
0500000US12013,5704
0500000US12015,108667
0500000US12017,81099
0500000US12019,84159
0500000US12021,225093
0500000US12023,29631
0500000US12027,15453
0500000US12029,9287
0500000US12031,429495
0500000US12033,144698
0500000US12035,54554
0500000US12037,8375
0500000US12039,18709
0500000US12041,7479
0500000US12043,6542
0500000US12045,8884
0500000US12047,5627
0500000US12049,9775
0500000US12051,14943
0500000US12053,88431
0500000US12055,57206
0500000US12057,595841
0500000US12059,8639
0500000US12061,82555
0500000US12063,20047
0500000US12065,6685
0500000US12067,3406
0500000US12069,173636
0500000US12071,410239
0500000US12073,132398
0500000US12075,20743
0500000US12077,3100
0500000US12079,8345
0500000US12081,202950
0500000US12083,175486
0500000US12085,81069
0500000US12086,1064991
0500000US12087,53699
0500000US12089,40787
0500000US12091,100401
0500000US12093,18465
0500000US12095,554517
0500000US12097,150567
0500000US12099,702877
0500000US12101,253685
0500000US12103,514666
0500000US12105,311599
0500000US12107,36133
0500000US12109,115442
0500000US12111,146077
0500000US12113,74878
0500000US12115,249418
0500000US12117,192725
0500000US12119,73998
0500000US12121,18891
0500000US12123,11078
0500000US12125,4678
0500000US12127,270402
0500000US12129,13537
0500000US12131,54894
0500000US12133,10840
0500000US13001,8492
0500000US13003,3475
0500000US13005,4803
0500000US13007,1531
0500000US13009,20022
0500000US13011,7237
0500000US13013,29530
0500000US13015,41946
0500000US13017,8102
0500000US13019,8082
0500000US13021,71725
0500000US13023,5201
0500000US13025,8133
0500000US13027,7343
0500000US13029,16137
0500000US13031,32570
0500000US13033,10980
0500000US13035,9436
0500000US13037,2066
0500000US13039,22393
0500000US13043,4636
0500000US13045,45906
0500000US13047,27808
0500000US13049,4633
0500000US13051,132487
0500000US13053,3262
0500000US13055,10850
0500000US13057,98431
0500000US13059,55088
0500000US13061,2035
0500000US13063,112772
0500000US13065,3019
0500000US13067,306434
0500000US13069,17301
0500000US13071,19039
0500000US13073,58011
0500000US13075,7256
0500000US13077,55975
0500000US13079,5178
0500000US13081,9964
0500000US13083,7371
0500000US13085,11731
0500000US13087,12915
0500000US13089,323092
0500000US13091,8664
0500000US13093,4927
0500000US13095,40590
0500000US13097,53653
0500000US13099,4936
0500000US13101,1659
0500000US13103,23908
0500000US13105,9288
0500000US13107,9959
0500000US13109,4641
0500000US13111,17508
0500000US13113,44699
0500000US13115,40470
0500000US13117,85632
0500000US13119,10581
0500000US13121,487896
0500000US13123,17593
0500000US13125,1416
0500000US13127,42091
0500000US13129,22645
0500000US13131,11447
0500000US13133,9805
0500000US13135,326458
0500000US13137,18279
0500000US13139,75797
0500000US13141,4947
0500000US13143,12280
0500000US13145,14126
0500000US13147,12786
0500000US13149,4795
0500000US13151,85223
0500000US13153,65671
0500000US13155,4141
0500000US13157,27137
0500000US13159,6275
0500000US13161,6368
0500000US13163,7168
0500000US13165,4327
0500000US13167,3602
0500000US13169,11596
0500000US13171,7545
0500000US13173,4109
0500000US13175,21885
0500000US13177,12445
0500000US13179,26610
0500000US13181,4429
0500000US13183,6230
0500000US13185,48226
0500000US13187,13072
0500000US13189,9389
0500000US13191,6908
0500000US13193,5231
0500000US13195,12146
0500000US13197,3576
0500000US13199,9492
0500000US13201,2848
0500000US13205,9038
0500000US13207,11040
0500000US13209,3767
0500000US13211,8243
0500000US13213,16010
0500000US13215,89653
0500000US13217,41215
0500000US13219,14768
0500000US13221,6360
0500000US13223,58240
0500000US13225,11936
0500000US13227,14749
0500000US13229,8316
0500000US13231,7011
0500000US13233,17207
0500000US13235,4017
0500000US13237,13025
0500000US13239,1763
0500000US13241,12024
0500000US13243,3372
0500000US13245,91578
0500000US13247,35106
0500000US13249,1979
0500000US13251,6525
0500000US13253,5029
0500000US13255,27646
0500000US13257,12363
0500000US13259,2136
0500000US13261,13522
0500000US13263,3092
0500000US13265,978
0500000US13267,9374
0500000US13269,3965
0500000US13271,4967
0500000US13273,4240
0500000US13275,20666
0500000US13277,17239
0500000US13279,12037
0500000US13281,8535
0500000US13283,2805
0500000US13285,28675
0500000US13287,3912
0500000US13289,4049
0500000US13291,14581
0500000US13293,12300
0500000US13295,29263
0500000US13297,35046
0500000US13299,15922
0500000US13301,2566
0500000US13303,8622
0500000US13305,12420
0500000US13307,1248
0500000US13309,2443
0500000US13311,13819
0500000US13313,38946
0500000US13315,3442
0500000US13317,5166
0500000US13319,4309
0500000US13321,9251
0500000US15001,88259
0500000US15003,367126
0500000US15005,87
0500000US15007,30147
0500000US15009,71318
0500000US16001,192132
0500000US16003,2644
0500000US16005,34730
0500000US16007,3868
0500000US16009,4633
0500000US16011,16845
0500000US16013,15417
0500000US16015,5427
0500000US16017,26116
0500000US16019,44562
0500000US16021,5383
0500000US16023,1274
0500000US16025,701
0500000US16027,79542
0500000US16029,3125
0500000US16031,8806
0500000US16033,465
0500000US16035,4552
0500000US16037,3082
0500000US16039,12098
0500000US16041,4933
0500000US16043,8489
0500000US16045,7508
0500000US16047,6027
0500000US16049,8861
0500000US16051,9953
0500000US16053,8533
0500000US16055,73466
0500000US16057,17122
0500000US16059,4590
0500000US16061,1814
0500000US16063,1951
